Name,lat,lng,Acres,Range,Start date,Structures,Deaths,Notes
Mendocino Complex,39.243283,-123.103367,459123,45.9123,18-Jul,280,1,"The Ranch Fire by itself at 410 203 acres (100% contained) as of 19 September 2018, is the largest fire in California history. 1 firefighter died.[4]"
Thomas,34.36,119.15,281893,28.1893,17-Dec,"1,063","23 (2 Direct, 21 Indirect)",Fatalities attributed to the fire include 1 firefighter and 1 civilian directly 21 deaths in later mudslides.[5]
Cedar,33.02,-116.68,273246,27.3246,3-Oct,"2,820",15,
Rush,40.65,-120.152,271911,27.1911,12-Aug,1,0,This fire burned an additional 43666 acres (17671.0 ha) in Nevada for a total of 315577 acres (127709.5 ha).[6][7]
Rim,37.85,-120.083333,257314,25.7314,13-Aug,112,0,
Zaca,34.7159,-119.7828,240207,24.0207,7-Jul,1,0,
Carr,40.6543,-122.6236,229651,22.9651,18-Jul,"1,604",8,
Matilija,34.36,-119.15,220000,22,Sep-32,0,0,
Witch,33.02,-116.77,197990,19.799,7-Oct,"1,650",2,
Klamath Theater Complex,41.583333,-122.5,192038,19.2038,8-Jun,0,2,
Marble Cone,36.051073,-121.469103,177866,17.7866,Jul-77,0,0,
Laguna,32.782656,-116.709136,175425,17.5425,Sep-70,382,5,
Basin Complex,36.0510963,-121.6091989,162818,16.2818,8-Jun,58,0,
Day,34.5291568,-119.05138,162702,16.2702,6-Sep,11,0,
Station,34.251,-118.195,160557,16.0557,9-Aug,209,2,
Camp,39.5051,-121.2342,153336,15.3336,18-Nov,"18,804",86,
Rough,36.874,-118.905,151623,15.1623,15-Jul,4,0,
McNally,36.0296747,-118.6946497,150696,15.0696,2-Jul,17,0,
Stanislaus Complex,38.251969,-121.1221364,145980,14.598,Aug-87,28,1,
Big Bar Complex,40.5001425,-123.3432513,140948,14.0948,Aug-99,0,0,